subdivision,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual_rainfall,source_dataset,resource_id,source_url
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,rainfall_imd,6c05cd1b-ed59-40c2-bc31-e314f39c6971,https://data.gov.in/resource/daily-rainfall-data-imd-weather-stations-1901-2017
